Wavelength (nm),Power (W/m2/nm)
524.238,0.0083
524.598,0.0084
524.958,0.0083
525.317,0.0083
525.677,0.0084
526.037,0.0083
526.397,0.0083
526.757,0.0084
527.116,0.0083
527.476,0.0084
527.836,0.0084
528.195,0.0083
528.555,0.0082
528.914,0.0083
529.274,0.0083
529.633,0.0084
529.993,0.0085
530.352,0.0087
530.711,0.0087
531.07,0.0087
531.429,0.0088
531.789,0.0088
532.148,0.0086
532.507,0.0087
532.866,0.0086
533.225,0.0086
533.584,0.0086
533.942,0.0087
534.301,0.0087
534.66,0.0087
535.019,0.0088
535.377,0.0089
535.736,0.0089
536.095,0.0089
536.453,0.0089
536.812,0.009
537.17,0.0089
537.528,0.0089
537.887,0.0088
538.245,0.0087
538.603,0.0086
538.962,0.0085
539.32,0.0084
539.678,0.0086
540.036,0.0087
540.394,0.0088
540.752,0.0089
541.11,0.0089
541.468,0.009
541.826,0.0088
542.184,0.0088
542.541,0.0088
542.899,0.0088
543.257,0.0087
543.614,0.0088
543.972,0.0087
544.33,0.0087
544.687,0.0087
545.045,0.0085
545.402,0.0085
545.759,0.0085
546.117,0.0086
546.474,0.0086
546.831,0.0086
547.188,0.0087
547.546,0.0087
547.903,0.0086
548.26,0.0086
548.617,0.0087
548.974,0.0086
549.331,0.0086
549.687,0.0086
550.044,0.0086
550.401,0.0085
550.758,0.0085
551.114,0.0085
551.471,0.0085
551.828,0.0086
552.184,0.0086
552.541,0.0087
552.897,0.0087
553.254,0.0086
553.61,0.0086
553.966,0.0086
554.323,0.0085
554.679,0.0085
555.035,0.0086
555.391,0.0086
555.747,0.0086
556.103,0.0086
556.459,0.0086
556.815,0.0085
557.171,0.0085
557.527,0.0085
557.883,0.0086
558.239,0.0086
558.594,0.0087
558.95,0.0087
559.306,0.0087
559.661,0.0086
560.017,0.0085
560.372,0.0084
560.728,0.0083
561.083,0.0083
561.438,0.0083
561.794,0.0084
562.149,0.0085
562.504,0.0085
562.859,0.0085
563.215,0.0085
563.57,0.0084
563.925,0.0084
564.28,0.0084
564.635,0.0085
564.99,0.0085
565.344,0.0087
565.699,0.0087
566.054,0.0087
566.409,0.0087
566.763,0.0088
567.118,0.0086
567.473,0.0086
567.827,0.0085
568.182,0.0085
568.536,0.0085
568.891,0.0086
569.245,0.0086
569.599,0.0087
569.953,0.0087
570.308,0.0086
570.662,0.0085
571.016,0.0085
571.37,0.0085
571.724,0.0084
572.078,0.0085
572.432,0.0085
572.786,0.0085
