Wavelength (nm),BB_Power (W/m2/nm)
778.361,0.222
778.685,0.2216
779.009,0.2218
779.333,0.2213
779.657,0.2217
779.98,0.2229
780.304,0.2232
780.627,0.2234
780.951,0.2234
781.274,0.224
781.598,0.2239
781.921,0.2231
782.245,0.2232
782.568,0.2237
782.891,0.2236
783.214,0.224
783.537,0.2245
783.861,0.2245
784.184,0.2239
784.506,0.2238
784.829,0.2235
785.152,0.2238
785.475,0.2239
785.798,0.2238
786.12,0.2236
786.443,0.2235
786.766,0.2241
787.088,0.2237
787.411,0.2245
787.733,0.2242
788.056,0.2244
788.378,0.2237
788.7,0.2238
789.022,0.2232
789.345,0.2234
789.667,0.2226
789.989,0.2228
790.311,0.222
790.633,0.2223
790.955,0.2221
791.276,0.2223
791.598,0.2217
791.92,0.2222
792.242,0.2223
792.563,0.2224
792.885,0.222
793.206,0.2221
793.528,0.2225
793.849,0.2218
794.171,0.2216
794.492,0.2219
794.813,0.2223
795.134,0.2219
795.456,0.222
795.777,0.2218
796.098,0.2216
796.419,0.2207
796.74,0.2203
797.061,0.2207
797.381,0.2209
797.702,0.2213
798.023,0.2208
798.344,0.2204
798.664,0.22
798.985,0.2203
799.305,0.2194
799.626,0.22
799.946,0.2201
800.267,0.2199
800.587,0.2191
800.907,0.2197
801.227,0.2195
801.548,0.2195
801.868,0.2197
802.188,0.2197
802.508,0.2192
802.828,0.2194
803.147,0.2197
803.467,0.2204
803.787,0.2203
804.107,0.2209
804.426,0.221
804.746,0.2215
805.066,0.2205
805.385,0.2206
805.705,0.2199
806.024,0.219
806.343,0.219
806.663,0.2188
806.982,0.2194
807.301,0.2204
807.62,0.2212
807.939,0.2206
808.258,0.2198
808.577,0.2196
808.896,0.2192
809.215,0.2188
809.534,0.2191
809.852,0.22
810.171,0.2203
810.49,0.2202
810.808,0.2197
811.127,0.2196
811.445,0.2195
811.764,0.2193
812.082,0.2196
812.401,0.2199
812.719,0.2202
813.037,0.2195
813.355,0.2193
813.673,0.2192
813.991,0.2194
814.309,0.2194
814.627,0.2214
814.945,0.2214
815.263,0.2215
815.581,0.2207
815.899,0.2209
816.216,0.2191
816.534,0.2197
816.851,0.2202
817.169,0.2201
817.486,0.2197
817.804,0.22
818.121,0.2197
818.438,0.2199
818.756,0.2201
819.073,0.2206
819.39,0.2205
819.707,0.2198
820.024,0.2191
820.341,0.219
820.658,0.2193
820.975,0.2193
821.292,0.2198
821.608,0.2198
821.925,0.2196
822.242,0.2196
822.558,0.2194
822.875,0.2194
823.191,0.2194
823.508,0.2194
823.824,0.2186
824.141,0.2193
824.457,0.2194
824.773,0.2205
825.089,0.22
825.405,0.2205
825.721,0.2199
826.037,0.2201
826.353,0.2194
826.669,0.2192
826.985,0.2199
827.301,0.2203
827.617,0.2201
827.932,0.2208
828.248,0.2216
828.563,0.2211
828.879,0.2208
829.194,0.2208
829.51,0.2208
829.825,0.2199
830.14,0.2194
830.456,0.2195
830.771,0.2196
831.086,0.2201
831.401,0.2221
831.716,0.2237
832.031,0.224
832.346,0.2232
832.661,0.2224
832.976,0.2213
833.29,0.2205
833.605,0.221
833.92,0.2219
834.234,0.2215
834.549,0.2214
834.863,0.2213
835.178,0.2215
835.492,0.223
835.806,0.2234
836.121,0.2234
836.435,0.224
836.749,0.2233
837.063,0.2218
837.377,0.2212
837.691,0.2212
838.005,0.2208
838.319,0.2212
838.633,0.2204
838.946,0.2214
839.26,0.2219
839.574,0.2223
839.887,0.224
840.201,0.2258
840.514,0.2269
840.828,0.2267
841.141,0.2272
841.455,0.2266
841.768,0.2264
842.081,0.2254
842.394,0.2257
842.707,0.2256
843.02,0.225
843.333,0.225
843.646,0.2245
843.959,0.2242
844.272,0.2241
844.585,0.2249
844.898,0.225
845.21,0.2267
845.523,0.2267
845.835,0.2281
846.148,0.228
846.46,0.2269
846.773,0.2261
847.085,0.2263
847.397,0.2253
847.71,0.2253
848.022,0.2261
848.334,0.2264
848.646,0.2266
848.958,0.2262
849.27,0.2255
849.582,0.2269
849.894,0.2276
850.205,0.2274
850.517,0.2278
850.829,0.2279
851.141,0.2272
851.452,0.2275
851.764,0.2272
852.075,0.2278
852.386,0.2276
852.698,0.2275
853.009,0.2265
853.32,0.2267
853.632,0.226
853.943,0.2258
854.254,0.2258
854.565,0.2258
854.876,0.2264
855.187,0.2269
855.497,0.2273
855.808,0.2285
856.119,0.2288
856.43,0.2278
856.74,0.2286
857.051,0.2289
857.361,0.2275
857.672,0.2276
857.982,0.2287
858.293,0.2279
858.603,0.2294
858.913,0.231
859.223,0.2306
859.533,0.2302
859.844,0.2305
860.154,0.2312
860.464,0.2298
860.773,0.2297
861.083,0.2302
861.393,0.2304
861.703,0.2291
862.013,0.2312
862.322,0.2325
862.632,0.2327
862.941,0.2319
863.251,0.2331
863.56,0.232
863.869,0.231
864.179,0.2315
864.488,0.2331
864.797,0.2318
865.106,0.2321
865.415,0.2324
865.724,0.2326
866.033,0.2336
866.342,0.2333
866.651,0.2316
866.96,0.2307
867.269,0.2299
867.577,0.2291
867.886,0.2304
868.195,0.2315
868.503,0.2338
868.812,0.2351
869.12,0.2342
869.428,0.2343
869.737,0.2341
870.045,0.2346
870.353,0.234
870.661,0.2359
870.969,0.2359
871.277,0.2359
871.585,0.2361
871.893,0.236
872.201,0.2346
872.509,0.2348
872.817,0.2342
873.124,0.2331
873.432,0.234
873.739,0.2339
874.047,0.2342
874.354,0.2349
874.662,0.2363
874.969,0.2371
875.276,0.2377
875.584,0.2379
875.891,0.2387
876.198,0.2379
876.505,0.2385
876.812,0.2388
877.119,0.2387
877.426,0.2382
877.733,0.238
878.04,0.2375
878.346,0.2364
878.653,0.237
878.96,0.2378
879.266,0.2373
879.573,0.2374
879.879,0.2399
880.185,0.2398
880.492,0.2375
880.798,0.2386
881.104,0.239
881.411,0.237
881.717,0.2365
882.023,0.2373
882.329,0.2368
882.635,0.2368
