Wavelength (nm),Power (W/m2/nm)
575.969,0.0027
576.322,0.0026
576.676,0.0025
577.029,0.0025
577.382,0.0023
577.736,0.0023
578.089,0.0024
578.442,0.0024
578.795,0.0023
579.148,0.0023
579.501,0.0023
579.854,0.0022
580.207,0.0022
580.56,0.0022
580.913,0.0023
581.265,0.0023
581.618,0.0023
581.971,0.0024
582.324,0.0023
582.676,0.0024
583.029,0.0024
583.381,0.0024
583.734,0.0024
584.086,0.0024
584.438,0.0024
584.791,0.0025
585.143,0.0026
585.495,0.0027
585.847,0.0028
586.2,0.0028
586.552,0.0028
586.904,0.0028
587.256,0.0029
587.608,0.0029
587.959,0.0029
588.311,0.003
588.663,0.0032
589.015,0.0033
589.367,0.0034
589.718,0.0036
590.07,0.0037
590.421,0.0038
590.773,0.0039
591.124,0.0039
591.476,0.0039
591.827,0.004
592.179,0.0041
592.53,0.0043
592.881,0.0045
593.232,0.0048
593.584,0.005
593.935,0.0052
594.286,0.0053
594.637,0.0054
594.988,0.0054
595.339,0.0057
595.689,0.0059
596.04,0.0061
596.391,0.0063
596.742,0.0067
597.092,0.0068
597.443,0.0069
597.794,0.0071
598.144,0.0075
598.495,0.0077
598.845,0.0081
599.196,0.0085
599.546,0.0089
599.896,0.0092
600.247,0.0095
600.597,0.0099
600.947,0.0103
601.297,0.0107
601.647,0.0111
601.997,0.0116
602.347,0.0121
602.697,0.0125
603.047,0.0131
603.397,0.0135
603.747,0.014
604.096,0.0144
604.446,0.0149
604.796,0.0153
605.145,0.016
605.495,0.0165
605.844,0.0172
606.194,0.0177
606.543,0.0185
606.893,0.0191
607.242,0.0197
607.591,0.0202
607.94,0.021
608.29,0.0218
608.639,0.0227
608.988,0.0234
609.337,0.0244
609.686,0.0253
610.035,0.0262
610.384,0.0271
610.733,0.0282
611.081,0.0293
611.43,0.0305
611.779,0.0316
612.127,0.0328
612.476,0.0341
612.825,0.0355
613.173,0.0369
613.522,0.0383
613.87,0.0397
614.218,0.0413
614.567,0.0428
614.915,0.0445
615.263,0.0463
615.611,0.0482
615.96,0.0502
616.308,0.0523
616.656,0.0544
617.004,0.057
617.352,0.0595
617.7,0.0621
618.047,0.0649
